id,dialogue,options
188,A:那可不可以用一些科學的實驗 或者是原理去驗證它呢,B:謝謝你 怎麼對我們那麼好	B:你祖媽咳到快死了你還不醒 枉費我做你老婆做這麼多年	B:省錢是幼華換東西 最主要的目的	B:太極拳的一個原理 當然是可以用科學的方法 來驗證它	B:我如果不說 你絕對不瞭解	B:很多人都反映 聽不懂柯委員在說什麼
189,A:就是這位單親爸爸他因為絕望 打算抱著女兒 要從天橋上跳下去,A:真讓人心疼啊	A:真的非常普遍	A:改編自真實社會新聞的電影	A:國內有一部	A:在艱困的環境下如何互相扶持	A:我記得其中有一幕
190,A:山水還有一個很著名的風味食材 你知道是什麼嗎	B:提示一下嘛	A:風,B:先往左邊 然後再往右邊	B:好山 好水 好風光	B:現在有三百多隻了	B:沒辦法組一隊	B:風 風箏	B:我要先離開耶
191,A:我也知道則緯 是因為喜歡我才這樣做 但是我真的只是把他當成好同學而已,B:我不想跟他們糾纏	B:這樣以後你們更少見面	B:你喔 皮就繃緊一點	B:人家孩子在開玩笑 你當作真的啊	B:那你就應該直接拒絕他啊	B:有這麼誇張嗎 我有二十次沒跟你們逛到街喔
192,A:一手交錢 一手交貨 五十元先拿來	B:我忘記帶了嘛 先欠一下又不會怎樣 我明天再還你,A:我是那種人嗎	A:這貝殼好特別 好可愛喔	A:不行 你每次都說明天	A:難道溝通不了	A:親兄弟都要明算帳了	A:你一定覺得媽媽很難溝通
193,A:鄭永銘老師執教物理二十七年	A:最擅長將枯燥難懂的科學,A:改變了您的一生	A:化為神奇有趣的魔術	A:那接下來 你要帶我們去哪裡玩呢	A:這國內國外走南闖北的	A:可是渡邊他是日本人	A:豐年祭的時候才穿 比較慎重
194,A:我用腳踢或是我用拳頭打 可不可以,B:這要兩腳要跟肩同寬	B:你就儘量能蹲低防守就儘量	B:先三點著地就輸了	B:會長有跟我推薦了兩位高手要來幫我忙	B:這一連串的體力考驗 真的是讓我有點吃不消	B:不行 那完全犯規 你不能去攻擊人家
195,A:我看別說什麼奧運金牌 黑帶可能都有問題 我大概只要能往上升一級 我就要偷笑了,B:不會啦 學習任何的武術 要有努力才會有收穫	B:既然已經掌握到擊破木板 快狠猛準的四個訣竅 現在就換我來試試看囉	B:我可以這樣擊破木板 是因為有教練在旁邊監督指導我 你們在家可千萬不要偷學喔	B:看到沒有 我就是快狠猛 但是不準	B:同學們怎麼都那麼厲害啊 有沒有什麼擊破木板的秘訣	B:我今天把大家請來 是想表演一小段簡單的跆拳道
196,A:詠真為什麼不直接告訴我 她不喜歡我 還讓我這樣一頭熱的為她做那麼多事,B:讓風痴笑我不能拒絕	B:委婉的拒絕人家就好了嘛	B:你呀根本無法拒絕美食嘛	B:我們可以拒絕採訪的權利	B:你要不要試試看拒絕	B:她有拒絕過你啊 只是你沒有聽進去
197,A:思卉 你晚上有沒有要去哪裡	B:晚上啊 我應該會去阿輝那兒吧 你要跟我一起去嗎,A:我覺得她蠻有這方面的天分的	A:好 我們開始上課	A:妍如 你真的很愛錢	A:不然老師 算你五折就好了	A:好啊 最近真是太忙了	A:妍如 你這麼厲害 還會設計啊
198,A:蟑螂丟到可樂裡 會被腐蝕光光啊 天天喝小心你的胃,B:你不要危言聳聽了好不好	B:我要走囉	B:禮拜六還要用呢	B:她真掃興	B:正好拿可樂來把它刮一刮	B:你不要再強詞奪理啦
199,A:濂僑 那你有什麼夢想 夢想實現了沒有呢,B:手語有兩個比法喔	B:應該就是英文了吧	B:我的夢想 是希望以後可以成為一位 手語界的名師 你呢	B:而且我那個電視 一定會選比較螢幕大的 這個對我來看會方便	B:我們得ABCD 一個字母一個字母的死背單字 很辛苦	B:每個人心中都會有不同的夢想
200,A:你知不知道這附近有一間招待所	A:招待所就是這片樹林後面有一棟日本房子,B:我看不用了吧	B:留下來的藏寶圖	B:就住在這附近	B:全部的人都到齊了只缺主角	B:這裡是桃園縣龍潭鄉的觀光大池	B:你說那間鬼屋喔
201,A:為什麼我們都看不到扁柏的神木,B:松樹柏樹這都很長壽啊	B:因為它在過去有一段慘痛的遭遇	B:你帶我去看哪裡有紙	B:那這些都是扁柏囉	B:現在我來考考你	B:資料一定很豐富
202,A:是妳自己放棄的好不好,B:先知是孤獨的	B:相中網紅是因為網紅自己會有大量的粉絲背景	B:想到夏天就想到蚊子	B:健身房放的歌很單調 就是那幾首英文歌在循環	B:妳以為我願意啊	B:今天的天氣真熱
203,A:你們怎麼這樣子 拿一個望遠鏡在偷窺我哦 沒禮貌	B:這望遠鏡哪是用來偷窺的 這用來觀察星星的好不好	A: 觀察什麼星星,B:你不知道最近有那個土星大接近嗎	B:最近這一陣子是三十幾年來	B:趕快趁現在看才來得及	B:比方說太陽只是其中的一顆	B:也是可以看別的星星的啦	B:你在笑什麼啊
204,A:你說我該怎麼辦嘛	B:你怎麼可以做這樣的事情,A:要不然你要我怎麼辦	A:補習班下課了	A:我小孩也在這附近補習耶	A:補習費很貴吧	A:貴不貴啊	A:蠻貴的
205,A:姊姊知道蔡依林嗎	B:我不知道	A:不知道,A:可是你工作很忙啊	A:你要把我害死	A:他還有全家人的衣服要洗	A:他學會承擔	A:你這個不利啦	A:是喔 那姊姊知道周杰倫嗎
206,A:那你想蓋什麼樣的學校,B:小朋友現在正在很快樂的學習啊	B:小朋友要自己製造自己的家啊	B:同學很幸福	B:這邊怎麼會有個洞啊	B:很多人住在很遠的地方	B:我想要有一面很大很大的牆壁
207,A:暑假快要結束了 你幫你的小孩做了什麼樣的暑期規劃啊	B:在他們還沒有放暑假之前 早就計劃好了,A:廉航機票便宜，是不少人的選擇	A:我肯定會讓妳後悔	A:該公司研發了一款員工管理軟體系統	A:那你們知不知道有一個暑期的 兒童戲劇課程的活動啊	A:那首歌真的超好聽的	A:今晚要去餐廳吃飯
208,A:這大概就是我唯一會在外面 用餐的機會 主要目的就是要介紹一個,A:特別的東西給外國人	A:然後躺在床上聽音樂	A:幼華在其中換到了生活樂趣	A:廚房就會變得很熱鬧	A:以為房間有十幾個人	A:我打不過狼人耶
209,A:快睡著了	B:快睡著了喔,A:馬可多發現事情大條了	A:對啊昨天晚上沒睡	A:完全嗅不出緊張的氣氛	A:他就一定會做到	A:這樣比較方便啊	A:我把這些弄下去蒸
210,A:我記得有一次 孩子打電話跟爸爸說 我考到大學了,A:就是這樣	A:所以讓我很放心	A:他也非常的努力讓你安心	A:想再請問士真	A:你陪著孩子一起長大	A:可是爸爸沒有回應他
211,A:濂僑 你念中學的時候 最拿手的是哪個科目 最不拿手的又是哪個科目,B:我有一個好朋友  連我都看不下去了 只好很雞婆的 每次都幫他拒絕別人	B:真是皇帝不急 急死太監	B:這段描述在校園中 常發生的濫好人橋段吧	B:我想想啊 我覺得我對數學很有興趣	B:沒關係 先進去再問問看好了	B:我可是射擊比賽第一名呢
212,A:妳希望自己考上哪所大學 對自己未來的期望是什麼呢,B:請介紹一下這本月刊的內容 還有妳編這份刊物的感想	B:我希望考上師範大學 然後用我四年的時間 在裡面好好的學習很多東西	B:你作業寫不完 一定很著急吧	B:台灣大學是台灣首屈一指的大學	B:如果身體裡面出了毛病 要去看哪一科呢	B:今天天氣很不錯 可以去外面兜兜風
213,A:醫生 病人怎麼樣啦,B:爸爸他被機車撞到	B:我已經跟學校請過假了	B:醫師 謝謝你喔	B:病人現在已經沒什麼大礙 只需要住院觀察幾天	B:我學校還有事 我不吃早餐了	B:可是你都不知道 他現在超會念的
214,A:你們家屬同意書 手術同意書填好了嗎 可是他奶奶我們還沒找到呀,B:你剛不是去打電話	B:家屬先在外面等一下	B:你去問一下四毛	B:安安想先走他要回去上課	B:我們代簽可以嗎	B:你那麼兇幹嘛
215,A:我是不是要這樣 一直翻一直翻這樣子,B:那個是我們常看到的麻雀嘛	B:它感覺很像那種電磁爐的感覺	B:可能又會被海關多罰錢	B:是不用這樣啦 差不多兩小時翻一次啦	B:不知道有沒有可以隨身攜帶的迷你手推車呢	B:這樣的設計真的有體貼到啦
216,A:其實我真正想讀的是餐飲科 每次看到烹飪的書就會很有精神,B:不喜歡被電的感覺	B:好啊 如果你沒辦法趕上我 那乾脆我考差一點跟你一起去讀職校好了	B:你說現在外面搞樂團的人	B:所以這樣整個看起來	B:看得到還是看不到	B:賈晨舒琪她們兩個怎麼了
217,A:現在 還有車子去瀘沽湖嗎,B:我們這裡沒什麼好吃的	B:沒有車了	B:誰說我結婚啦	B:我是個快遞員	B:我終於找到工作了	B:我爸媽就是因為第三者而離婚的
218,A:你要學起來喔	B:好 我要拿這個打天下,A:你要學得像喔 學不像你就完蛋了我跟你講	A:八戒 為師不是告誡過你 不是屬於自己的東西 不能隨便佔為己有嗎	A:他們很多來應徵的時候 都不是自己一個人來	A:我爸因為工作的關係 常常都不會在家	A:所以你只要種下這五顆種子 就會長出宇宙	A:凡是具有歷史文化意義的語言 都值得我們去推廣
219,A:奶奶 你在這個眷村 有沒有什麼最難忘的生活,B:在下沒齒難忘	B:夠了好不好越說越煩 你能不能說點好聽的	B:我沒有千里眼或順風耳 可以把這個蘭陽平原上的宜蘭 一次看透透	B:因為我們現在的電視 都充滿了那些奇怪的那些新聞	B:交給天公伯做主	B:我最難忘的就是鄰居 大家出來聊天
220,A:我想要請假	B:你要請多久啊,A:事實就是這個樣子	A:不然鐵定又會遲到	A:妳要不要上來坐一下	A:一個禮拜	A:這樣我們再下一盤好不好	A:看到那封信 我自己也要流眼淚了
221,A:我問你 當初你怎麼會喜歡做中國結呢,B:誰叫她是老前輩 只好乖一點了	B:現在這景氣不好	B:我是從國中的時候開始學的 從此就產生興趣了	B:牆上這麼多的中國結 都是你編的	B:沒興趣我也就沒辦法了	B:例如以前我就去啟聰協會教過中國結
222,A:那新的一年你有什麼新希望啊,B:轉眼又要過元宵節了	B:我希望世界和平不要再有戰亂	B:乾脆今天我們就請「聽聽看」的主持群	B:有什麼好洗的啊	B:你不要取笑人家了啦	B:我是曉書
223,A:我覺得這個媳婦很好啊 超好的啦 超好的	B:哪裡好,A:爸爸會管牠而已	A:什麼都好	A:那我會打瞌睡耶	A:倒一杯給你媽媽喝	A:今天晚上特別買的	A:等一下我放給你看
224,A:我們只是利用這個圖片 來引發內在的情緒 去讓創作者去投射他的感覺,A:王大姊的手藝真厲害	A:到底發生什麼事啊	A:許多比賽項目	A:因為這些感覺有時候可能很難說得清楚	A:每一位都是水中的蛟龍	A:以後就沒辦法跑了
225,A:這枝筆桿啊 全部都是K金做的 漂亮吧	B:真的好漂亮喔 你爸爸怎麼捨得給你啊,A:你媽媽打過電話給老師	A:你們這樣對待她 太過分了	A:這次段考我進步很多 我爸爸給我的獎品	A:我才不來受氣呢	A:我們要向羽君道歉	A:我們並不強調指拼法的這個部分
226,A:你看我的 我的這樣隨便這樣一放 它就飛上去啦	B:怎麼會這樣,A:這一個點就是重心的點的位置	A:可以把那個圖案畫上去了	A:我也不知道 它就是飛不起來	A:講我你自己呢 整天整夜的不在家	A:怎麼可以用這種態度對待長輩呢 你這到底是跟誰過不去	A:換作我們任何一位老師 都很難心平氣和
227,A:依君我有禮物要送給你,B:以後沒有交作業只要這樣 應一聲就可以打混過去了	B:這份禮物是跟老師賠罪的	B:對不起我不是故意的	B:好 這個就是我們今天比較級的用法	B:有餅乾吃我也要吃	B:真的嗎 什麼禮物
228,A:流傳的滴血認親 卻有另一番註解 不僅認為滴血認親不可靠 甚至說出只要血型相同,A:血液就會溶合	A:那我們首先要讓魚安定	A:眼見黃同學讓石斑魚安定後	A:再用針管抽取魚兒的尾靜脈血液	A:看來魚兒抽出的血	A:和我們人血差不多呢
229,A:開玩笑我自己喝飽回來就好 我幹嘛還帶回來給你們喝,B:我們下課花路米探索的精神	B:我從小就在這裡長大的	B:冷冷的泉就是冷泉啊	B:怪水什麼怪水	B:以前一直說這是毒龍潭	B:你怎麼這樣子啊 小氣
230,A:現在先請老師 給我們博愛國小分數 請舉牌,A:扣掉的分數 加起來比我們得的分數還要多	A:五分 四分 五分 總分十四分 恭喜你們 博愛國小	A:對分數這麼有興趣啊	A:而分數跟結果不一定是最重要的	A:我反對	A:分數不是那麼重要的
231,A:賢賢 聽你這麼講 就知道你一定沒有坐過阿里山火車是嗎	B:我是真的沒有坐過 難道你們都有坐過嗎,A:有啊 我有坐過	A:豆油伯說他們幾個都是鐵道迷	A:那種感覺很好耶	A:賢賢 你在看什麼啊	A:應該算是順道拜訪吧	A:賢賢 你們在說什麼鹽田
232,A:妳今天幹嘛吃那麼多肉啊,B:這個看似鐵餅的東西其實是拖板	B:這種有序的結構本身違反熱力學第二定律	B:錄音室消毒殺菌 以防遭傳染	B:淡雅的味道也讓醬油有發揮的空間	B:這些年來經濟成長率提升	B:我明天就不能吃啦
233,A:所有的科目我都幫你整理在筆記本裡了 而且我都做好標記分類	B:你花多久的時間整理的,A:這個你不要管 只要讓你有好成績花多少時間我都願意	A:我已經沒有法寶了	A:因為這聲音是以前的聲音	A:握刀一定要先這樣子	A:當初我只是想要幫舒琪	A:代表的這是一個公司的代號
234,A:每逢年底 聖誕佳節的前夕 他會裝扮成耶誕老公公 幫忙募款,A:作為照顧身心障礙朋友的經費	A:那個直升機這樣轉	A:仍然賣力的推輪椅	A:繼續坐著輪椅闖關	A:這樣的結果出乎意料之外	A:有人容易緊張
235,A:怎麼樣 可以動嗎	B:我小心一點應該可以啦	A:怎麼打個球打成這樣子嘛,A:你們也不分青紅皂白 就誤會陳羽君	A:希望她早一點回來上課	A:簡直是模範母親	A:算你們還有一點良心	A:對 我們要丟掉過去的陰影 向前看	A:只是扭到擦傷而已 您不用大驚小怪啦
236,A:你看他們的婚姻 你覺得好嗎	B:不一定都不好,A:高齡七十八的阿嬤 堪稱小朋友殺手	A:從小一起長大的妹妹也不知道	A:讓大家吐露心聲的絕佳美味	A:有三個小孩的陳綢阿嬤	A:一定有好的啊	A:他想找誰來吃飯呢
237,A:你現在一天大概還要喝多少,B:那個還不到半秒鐘	B:退休前的恐懼和憤怒又來了	B:他會應該很容易瞭解那種心境	B:頂多不會超過兩瓶	B:我的個性 就是比較不服輸那種個性	B:他們還為來賓準備了三個蓋盅
238,A:阿火叔你有沒有看到我家阿蘭	B:有呀說要帶小孩去海邊走走,A:快點走去派出所 到派出所再說	A:希望我們阿蘭若嫁過去時會好好疼惜	A:如果有一天我離開了 你會恨我嗎	A:對阿爸我送你回去休息	A:原本打算明天去醫院探望阿爸的	A:你是不是常帶女孩子來這裡來海邊玩
239,A:這裡的養蝦場是用海水養殖蝦 而且今天我們來的日子剛好是他們收蝦的日子	B:收蝦是什麼 是蝦子收成嗎,A:或者是有事情不能解決的時候	A:所以我在學校生活裡面	A:雖然柯老師信誓旦旦的說	A:裝的正是一氧化碳	A:真好這麼早就立定志向了	A:對 就是蝦子收成
240,A:你今天的狀況不是很好 彈琴的力道明顯都不足 該重的音階 幾乎都只是輕輕帶過,A:而該輕的地方 幾乎都聽不到	A:記住機會是留給準備好的人	A:我是真的沒辦法	A:你們好厲害喔	A:後果可能會更嚴重	A:但是你要懂得保護自己
241,A:而且我相信 你在那兩分鐘的獨奏表演 一定會得到最多的掌聲	B:謝謝你 你真的是最最最夠朋友了,A:那就麻煩你們囉	A:我是真的沒辦法	A:李芯真的好專心	A:後果可能會更嚴重	A:誰叫我們是鋼琴雙姝呢	A:我的手好像越來越嚴重了
242,A:有這樣的想法 那是一件很棒的事	B:沒有 也有人不願意演啦,B:它不只是一個電視劇的消耗品	B:可是很多演員再怎麼辛苦 都願意繼續跟老師合作	B:而且還可以看得進去的	B:他說等一下 我忘記問了	B:我剛剛已經是最好的狀態了	B:也有人不願意演
243,A:我很多事情都不會跟他討論 然後發現做了之後他不喜歡,A:然後吃完飯再進去念書	A:我也擺臭臉	A:然後就自己進房間念書	A:然後吃飯再出來	A:然後他就生氣	A:我自己太有想法
244,A:所以經過離心以後呢 上面就分為血清 下面就分為血球,A:它的血綠素裡面是含有銅離子	A:所以當它跟空氣接觸以後呢	A:重的血球就沉下來了對不對	A:班傑當然不會忘記	A:來醫院的主要目的啦	A:這次參與抽血的人分別是
245,A:我看你回到家到現在 一句話也不講 你是不是在學校發生什麼事,B:你的腦袋就是跟別人想的不一樣	B:沒事 你不要一直問好不好	B:她就會很擔心 擔心到連覺都睡不好	B:你知道嗎 她難過得連飯都吃不下	B:這樣也叫天兵喔 有誰的媽媽會像你這樣	B:我保證 不用打勾勾了啦
246,A:冒泡的感覺是什麼啊,B:我已經沒辦法去了	B:台灣已步入高齡化社會	B:親友追思溫馨感人	B:究竟沖繩的魅力在哪裡呢	B:許多小朋友會在狗狗貓貓的陪伴下一起成長	B:喔 很難形容
247,A:我們馬上去看醫生 好嗎	B:不行啦 如果這時候去看醫生,B:記住機會是留給準備好的人	B:你想這麼做	B:一定會得到最多的掌聲	B:可是你不是也是合唱團的候補伴奏嗎	B:說不定你還有機會取代她呢	B:醫生一定叫我要多休息 不要彈琴
248,A:你跟阿陽在一起那麼久了 那現實生活當中你是他的什麼 還不是只是普通朋友嗎	B:誰說我們只是普通朋友 我們的關係你又不是不知,A:希望等一下 阿陽不要認不出我們來	A:你們整條葬儀街都那麼傳統 每家都要搞得跟清朝人一樣	A:你們家這種傳統葬儀 都一定要把人家弄那麼難看嗎	A:誰承認你們的關係啊 難道你可以當著大家的面 說你是他的未亡人嗎	A:你們快點啦 明天阿陽就要入殮了 今天晚上是見他最後一面	A:我平常也不會這樣穿啊 這根本不是我的style
249,A:你是不是喝醉啦 我跟你說 我就在附近 我去接你喔	B:不用了啦,B:可是他不想要我	B:我自己叫車回去就行了	B:我給你時間好好的考慮考慮	B:你這幾年的表現	B:從今起我卯起來賺錢	B:小孩子可不是小貓小狗耶
250,A:媽 如果我去讀餐飲科而不去讀普通高中呢,B:一千四百西西的水	B:吊白塊裡的福馬林	B:那也很好啊 只要你自己想清楚 你做任何決定媽都支持你 加油	B:明明考試之前的重點	B:就是maru2	B:到現在還不知道要考什麼
251,A:但是透過廣播呢 我自己給我自己的心靈 做了一個很好的治療 跟聽眾朋友們的互動,A:目前沒有辦法擴及到個人服務	A:但是如果你個人	A:真的是有這樣子的需求	A:也讓我感到非常的溫暖	A:包含說如果你真的是臨時發生了一些狀	A:其實我們還是會有一些彈性的處理
252,A:可是你不是也是合唱團的候補伴奏嗎  你不用準備嗎	B:反正我只是個候補 比較沒關係啦,A:你今天的狀況不是很好	A:你們好厲害喔	A:好 那就麻煩你了	A:如果你因為不甘心	A:怎麼突然停下來了	A:傷到哪裡了
253,A:就是這位單親爸爸他因為絕望 打算抱著女兒,A:真讓人心疼啊	A:要從天橋上跳下去	A:真的非常普遍	A:像我自己	A:就是單親家庭長大的小孩	A:沒錯
254,A:我用來裝錢的包包不見了	B:錢不見啦 怎麼會不見了呢,A:我 我不知道	A:好久不見	A:不見得比較輕鬆耶	A:不要老是躲著不見人嘛	A:我怕你聽不見啊	A:什麼都看不見
255,A:那時候其實你們都還很小耶	B:對啊 除了那個總監很老之外,A:你不用來念了	A:可能一定會走得更辛苦	A:沒有 他那時候還是讀高中而已	A:有人對你有興趣喔	A:當然他們都覺得很討厭	A:為什麼不當教授
256,A:不能因為你幫我這一點小小的忙 就要我買那雙鞋送你	B:媽 你想到哪去了 我這次是義務幫忙 沒有任何條件的 你放心好了	A:那你要確實把它清理乾淨喔,A:銀行經理盜領公款逃逸	A:損失三百萬元	A:太可惡了	A:又見飆車族逞兇砍人	A:我再進去把湯熱一下	A:回來啦
257,A:土星的體積非常的大 是地球的七百四十五倍耶	B:真的啊,A:你知道它有多輕嗎	A:不要亂猜	A:土星的體積很大哦	A:但是 它卻是太陽系中最輕的行星哦	A:好可愛哦	A:你們知道嗎 土星的體積很大哦
258,A:所以你們家用得最多的 應該就是紙跟筆了吧 是不是	B:是	A:然後很多人說 你們家是用稿紙糊起來的 是因為真的是爸爸媽媽 真的就是靠筆耕,A:都用鹽醃起來	A:那是香茅油你拿那個做什麼啊	A:我跟你講豆油伯送的禮物好不到哪裡去	A:還好爸爸那時候他是軍職 那軍職至少有固定的軍餉	A:你再考別的有沒有其他的東西可以送	A:我們台語其實也不錯
259,A:怎麼培養我們 然後怎麼教我們寫文章	B:從來沒有	A:沒有嗎,B:要爬二千多公尺	B:完全沒有	B:我最起碼可以說十種	B:火車就是這樣才可以行駛的喔	B:看到他的那個寫作的身影	B:這個就是直立式汽缸
260,A:那米開朗基羅牠的個性是怎麼樣的	B:蠻凶悍的吧	A:蠻凶悍喔 所以我們不可以太接近牠是不是,B:發現你的騎術真的很不賴	B:殺得他們片甲不留	B:就要把馬牽過來這樣	B:馬術就是要比優雅的嘛	B:不會 對人很好	B:你平常除了刷馬之外 還要幫馬做些什麼事嗎
261,A:張瑞桓 我到處找你 英文講義的錢你還沒交喔	B:來不及囉 我現在口袋空空是也,A:不是應該要選成績最優秀的人嗎	A:明明交錢那麼簡單的事 為什麼你可以拖那麼久	A:可以瞭解更多你們的生活小秘密喔	A:老師還會另外準備神秘的小禮物喔	A:又要孝順父母	A:終究還是回到了我最喜歡的校園
262,A:簡單的說 這是一種先天性的心臟病	B:醫生 那我們該怎麼辦,B:我們應該怎麼接受治療	B:怎麼能怪你呢	B:還欠了一屁股債	B:多一分鐘手術的時間	B:從來都沒有癒合過	B:我們馬上去看醫生
263,A:李芯 這樣好嗎	B:我也不知道 但是不管怎麼樣,B:休息一下就好了	B:我知道了	B:我馬上去洗	B:你一定要幫我保守這個秘密	B:你們好厲害喔	B:你不要再否認了
264,A:面目可憎 可能不只是因為沒有讀書吧 也有可能是因為睡眠不足,A:以符合所謂社會的需求	A:也有可能是年紀到了啊	A:我們也做了一個初步的規畫	A:目前我們是建議	A:以後身心障礙特考	A:對於這個體格檢查
265,A:小姐 妳不知道這裡不能貼嗎 貼成這麼亂 要開單喔	B:大哥 不好意思啦 我是新來的不知道規矩,A:一斤的蘋果要多少錢	A:你知道台大電機營嗎	A:這個膠帶是我在文具行買的	A:這雙是你的拖鞋嘛	A:我抓到妳卻沒有開單的話 我會被長官罵	A:走 我們一起去打球
266,A:下過雨後山中的溪水湍急 水流衝力較大	A:難不成這第一關就會讓狗狗追不下去了嗎,A:感覺就是蓄勢待發這樣子	A:開始追捕佩佩的路程	A:沒問題吧 對不對	A:再往上爬 沒想到看似盡頭 佩佩竟然還能在狹縫中找到一條出路	A:瞧她一副賊樣	A:繼續馬不停蹄的逃亡 完全不敢浪費時間
267,A:羽君 對不起 都是媽的錯 你聽媽解釋嘛,B:情況嚴不嚴重啊	B:我試試看囉	B:把他推向深淵	B:你走開我不想跟你說話	B:我們寫給你的卡片收到了嗎	B:我真的好羨慕你喔
268,A:所以這個編劇 寫故事的人是你嗎	B:當然是我自己啦,A:長高潛能不是以實際年齡為準	A:我不知道要買哪件襯衫	A:我覺得陽春麵很好吃	A:投資有賺有賠	A:那老師有沒有幫你修改	A:請問你有需要銀行貸款嗎
269,A:可見得由這個實驗我們發現看起來新鮮的蝦不見得真的比較新鮮,A:而且福馬林聽說有一種很奇怪的味道	A:這個高雄港站在日據時代	A:來你幫我聞聞看	A:千晏待會兒看完書	A:所以其實我們購買海鮮的時候不能光看牠的外表	A:等他以後上高中甚至考到大學
270,A:怎麼咳個不停的 你到底有沒有去看醫生啊	B:感冒啦 過兩天就好了,A:你不要給你自己找藉口了	A:你還逞強 看你咳成這樣子 感冒可是不能拖的	A:我們應該可以更好相處吧	A:我已經十五歲了 每次都把我當成小孩子	A:多尊重我一些意見	A:這些話我放在心裡已經很久了
271,A:那失智的余爺爺呢 他也能夠自己打理三餐嗎	B:因為沒時間煮飯啊 帶孩子怎麼有時間煮飯,B:他都會自己去買吃的	B:對於這樣的情景	B:住在台中從事餐飲業的大姊	B:不是不知情	B:大姊甚至曾經表達她的不滿	B:獨自在公園呆坐好幾個小時
272,A:所以施打過一氧化碳的鮭魚會變得鮮紅 而不會氧化成為黑褐色	B:所以像有些人煤氣燒炭自殺之後他的皮膚都變得比較粉紅色 是一樣的道理囉,A:他是會變成泛紅的	A:我們過去拜訪一下	A:是 一氧化碳吸進去以後就跟我們的血液做結合 所以會變成非常鮮紅	A:只死掉了五隻而已	A:所以各類的書我都很喜歡	A:像這個就是取高雄的高
273,A:我跟你爸賺錢很辛苦 你花起來倒蠻大方的 你一點都不心疼啊,B:你怎麼沒有幫自己算一算啊	B:我以後賺錢還你嘛	B:有沒有對她好一點啊	B:在台灣有一千三百萬輛機車	B:我是從台灣來的	B:這樣子比較不會震得屁股疼
274,A:那幫老師畫有沒有打折	B:老師 人人平等 不二價 不過我保證把老師畫得美美的 而且物超所值,A:那當然了 老師相信你的能力	A:妍如好專業喔	A:我在畫畫打工賺錢	A:燈塔是你最喜歡的地方	A:為什麼讓你覺得很平靜很安全的秘密	A:以前爸爸是漁夫
275,A:賢賢喜歡我們這裡嗎	B:很喜歡啊 我覺得雖然校園整個校地並沒有很大,B:你剛剛說你不會做玩具沒關係	B:這是文山國小的同學	B:用這種吸管還有紙板做成的長程飛彈	B:不用花到一毛錢	B:一定是這種課程	B:可是每個人的感情好像都很好
276,A:那如果我們想逛逛的話 有什麼可以推薦的	B:山形屋,A:而且今天我們來的日子	A:那你們同學對王芃的印象怎麼樣呢	A:那有什麼特別的	A:兩位老師要不要進來坐一坐	A:家裡的生意正在忙需要你	A:對啊眼高手低耶你
277,A:舒琪你可以教我們做這種餅乾嗎,B:可是不知道為什麼	B:王芃她現在練習的是學校校慶的節目	B:因為每一科都可以讓我學到很多新事物	B:對啊 我超愛草莓口味的	B:把梁老師都給嚇跑了	B:如果不練的話也是不可能打得快
278,A:加生 你知道瑉琁 做這個研究的用意在哪裡嗎,B:轟動一時的人體奧妙巡迴展 終於來到台灣了	B:你看每位遊客都玩得不亦樂乎	B:知道啊	B:這也算是自然手語啊	B:澎湖是一個由六十四個大小島嶼組成的群島	B:怪難為情的對不對
279,A:你就先和珮甄借好了	B:不要 我最討厭欠人情了	A:不然你想怎樣,B:一時感觸良多而已啦	B:大不了老師保證絕對不說出去	B:可是我不能保證	B:那等你們找到保證書再過來	B:我保證 明天我一定交	B:保證讓全班大開眼界啦
280,A:有沒有很開心	B:很開心 對啊	B:現在在收成啊,B:好好過日子	B:你要不要講一下	B:當然是很開心囉	B:不然會嚇到人家	B:這麼明顯的放水	B:就炒一個米粉啦
281,A:芷穎 我要向你收那個校外教學的費用	B:啊 我又忘了,A:你爸最近太健忘了	A:我忘了拿內褲	A:又忘了 我看你是把錢拿去買漫畫書了吧	A:你忘了自己是老師	A:難道你忘了	A:就忘了跟你講
282,A:您所撥的電話號碼是空號,A:好像還蠻不錯的	A:他就是黃奶奶	A:可是渡邊他是日本人	A:是下一期大樂透的號碼	A:請查明後再播 謝謝	A:留下來的藏寶圖
283,A:你的女兒 是一位優秀的聽障孩子 你對她有什麼期望呢,B:人家不管啦	B:不信就算了 好心帶這麼甜的葡萄給你們吃 你們還不領情	B:我一直幫她規劃說 朝著能夠以聽障人的立場 去考量以後一些聽障的事物	B:請問你自己有嘗試過 這個實驗嗎	B:現在剛好客人比較少 所以閒著就看看報紙	B:今天調查了六十九位同學當中 有二十七位同學選擇相信
284,A:我們去游泳,B:我的借你啊	B:我們身材又不一樣	B:我有一件以前的 你應該可以穿吧	B:你有沒有看過殉情記啊	B:我又沒有帶泳衣	B:因為我也忘了放哪裡
285,A:老師 您會不會像其他人一樣 看不起我媽媽	B:為什麼要看不起她呢,A:能不能跟你拍張照	A:可不可以請你幫我們	A:我們管理部這邊就會有一套 制式的一個規格	A:您知道他們在做什麼呢	A:因為她犯過罪	A:坐計程車回去吧
